281164.txt,11942,377,841,641,395,238,178,413,1661,31.6764,30.2329,18.6303,1.7003,2.1291,1.6228,0.3713,0.6025,1.0477,0.4506,1.0456,0.6443,4.2051,2.5913,ORBCOMM Inc. ,1361983,2016
281165.txt,208,11,25,18,9,4,3,12,33,18.9091,23.1111,11.5556,1.6364,2.7778,2.0000,0.2222,0.4444,0.8182,0.3333,1.3333,0.6667,3.6667,1.8333,ORBITAL ATK  INC. ,866121,2016
282496.txt,1511,67,130,104,74,27,19,61,200,22.5522,20.4189,14.5288,1.5522,1.7568,1.4054,0.2596,0.3649,1.1045,0.2568,0.8243,0.5865,2.7027,1.9231,Theron Resource Group ,1409431,2016
281162.txt,666,29,57,42,27,13,10,26,86,22.9655,24.6667,15.8571,1.4483,2.1111,1.5556,0.3095,0.4815,0.9310,0.3704,0.9630,0.6190,3.1852,2.0476,ORANCO INC ,1098996,2016
282493.txt,1329,55,109,78,54,22,20,71,164,24.1636,24.6111,17.0385,1.4182,2.0185,1.4444,0.2821,0.4074,0.9818,0.3704,1.3148,0.9103,3.0370,2.1026,Textura Corp ,1565337,2016
281163.txt,9984,345,667,526,352,165,124,295,1329,28.9391,28.3636,18.9810,1.5246,1.8949,1.4943,0.3137,0.4688,1.0203,0.3523,0.8381,0.5608,3.7756,2.5266,ORASURE TECHNOLOGIES INC ,1116463,2016
282494.txt,4209,115,263,196,123,71,45,166,551,36.6000,34.2195,21.4745,1.7043,2.1382,1.5935,0.3622,0.5772,1.0696,0.3659,1.3496,0.8469,4.4797,2.8112,TherapeuticsMD  Inc. ,25743,2016
281160.txt,1702,59,172,119,70,43,33,63,204,28.8475,24.3143,14.3025,2.0169,2.4571,1.7000,0.3613,0.6143,1.1864,0.4714,0.9000,0.5294,2.9143,1.7143,OPTILEAF  INC. ,1628228,2016
282491.txt,3395,144,263,194,141,54,40,132,469,23.5764,24.0780,17.5000,1.3472,1.8652,1.3759,0.2784,0.3830,0.9792,0.2837,0.9362,0.6804,3.3262,2.4175,Texas Roadhouse  Inc. ,1289460,2016
285580.txt,310,8,19,15,10,5,5,17,42,38.7500,31.0000,20.6667,1.8750,1.9000,1.5000,0.3333,0.5000,1.2500,0.5000,1.7000,1.1333,4.2000,2.8000,China Green Agriculture  Inc. ,857949,2016
281161.txt,6480,238,526,371,244,117,87,296,883,27.2269,26.5574,17.4663,1.5588,2.1557,1.5205,0.3154,0.4795,1.0252,0.3566,1.2131,0.7978,3.6189,2.3801,ORAGENICS INC ,1174940,2016
282492.txt,186,5,15,13,5,7,3,9,26,37.2000,37.2000,14.3077,2.6000,3.0000,2.6000,0.5385,1.4000,1.0000,0.6000,1.8000,0.6923,5.2000,2.0000,Texas South Energy  Inc. ,1506742,2016
285581.txt,5650,182,366,305,202,96,74,196,771,31.0440,27.9703,18.5246,1.6758,1.8119,1.5099,0.3148,0.4752,1.1099,0.3663,0.9703,0.6426,3.8168,2.5279,China Modern Agricultural Information  Inc. ,1479526,2016
285582.txt,3734,148,355,260,157,97,66,137,497,25.2297,23.7834,14.3615,1.7568,2.2611,1.6561,0.3731,0.6178,1.0608,0.4204,0.8726,0.5269,3.1656,1.9115,China Soar Information Technology  Inc. ,1582586,2016
285585.txt,5032,179,324,263,186,65,52,165,655,28.1117,27.0538,19.1331,1.4693,1.7419,1.4140,0.2471,0.3495,1.0391,0.2796,0.8871,0.6274,3.5215,2.4905,Citius Pharmaceuticals  Inc. ,1506251,2016
285586.txt,3069,116,200,161,114,45,35,126,459,26.4569,26.9211,19.0621,1.3879,1.7544,1.4123,0.2795,0.3947,0.9828,0.3070,1.1053,0.7826,4.0263,2.8509,Citizens Community Bancorp Inc. ,1367859,2016
285587.txt,2708,98,181,145,101,44,33,125,379,27.6327,26.8119,18.6759,1.4796,1.7921,1.4356,0.3034,0.4356,1.0306,0.3267,1.2376,0.8621,3.7525,2.6138,Civitas Solutions  Inc. ,1608638,2016
285588.txt,1800,68,128,99,65,33,19,63,254,26.4706,27.6923,18.1818,1.4559,1.9692,1.5231,0.3333,0.5077,0.9559,0.2923,0.9692,0.6364,3.9077,2.5657,Classic Rules Judo Championships  Inc. ,1445831,2016
285589.txt,6346,239,457,360,249,101,76,208,994,26.5523,25.4859,17.6278,1.5063,1.8353,1.4458,0.2806,0.4056,1.0418,0.3052,0.8353,0.5778,3.9920,2.7611,Clearfield  Inc. ,796505,2016
281159.txt,60,2,3,4,2,2,1,4,9,30.0000,30.0000,15.0000,2.0000,1.5000,2.0000,0.5000,1.0000,1.0000,0.5000,2.0000,1.0000,4.5000,2.2500,OPTICAL CABLE CORP ,1000230,2016
281157.txt,2222,99,204,141,96,49,37,111,295,22.4444,23.1458,15.7589,1.4242,2.1250,1.4688,0.3475,0.5104,0.9697,0.3854,1.1562,0.7872,3.0729,2.0922,OPOWER  INC. ,1412043,2016
282488.txt,985,34,83,61,37,25,15,39,138,28.9706,26.6216,16.1475,1.7941,2.2432,1.6486,0.4098,0.6757,1.0882,0.4054,1.0541,0.6393,3.7297,2.2623,Terreno Realty Corp ,1476150,2016
281158.txt,6211,204,526,361,223,135,95,241,838,30.4461,27.8520,17.2050,1.7696,2.3587,1.6188,0.3740,0.6054,1.0931,0.4260,1.0807,0.6676,3.7578,2.3213,OPPENHEIMER HOLDINGS INC ,791963,2016
281155.txt,2631,106,232,157,111,53,40,100,342,24.8208,23.7027,16.7580,1.4811,2.0901,1.4144,0.3376,0.4775,1.0472,0.3604,0.9009,0.6369,3.0811,2.1783,ONVIA INC ,1100917,2016
282486.txt,1544,68,112,90,70,18,13,57,191,22.7059,22.0571,17.1556,1.3235,1.6000,1.2857,0.2000,0.2571,1.0294,0.1857,0.8143,0.6333,2.7286,2.1222,Terra Tech Corp. ,1451512,2016
281156.txt,4978,146,377,264,168,84,62,164,701,34.0959,29.6310,18.8561,1.8082,2.2440,1.5714,0.3182,0.5000,1.1507,0.3690,0.9762,0.6212,4.1726,2.6553,OPGEN INC ,1293818,2016
282487.txt,297,6,23,16,9,6,4,17,44,49.5000,33.0000,18.5625,2.6667,2.5556,1.7778,0.3750,0.6667,1.5000,0.4444,1.8889,1.0625,4.8889,2.7500,Terrapin 3 Acquisition Corp ,1608298,2016
281153.txt,2863,90,207,127,96,34,29,107,375,31.8111,29.8229,22.5433,1.4111,2.1562,1.3229,0.2677,0.3542,1.0667,0.3021,1.1146,0.8425,3.9062,2.9528,ONEOK INC  NEW  ,1039684,2016
282484.txt,6938,236,487,369,256,103,75,244,966,29.3983,27.1016,18.8022,1.5636,1.9023,1.4414,0.2791,0.4023,1.0847,0.2930,0.9531,0.6612,3.7734,2.6179,Teligent  Inc. ,352998,2016
281154.txt,2467,80,191,116,89,30,24,93,317,30.8375,27.7191,21.2672,1.4500,2.1461,1.3034,0.2586,0.3371,1.1125,0.2697,1.0449,0.8017,3.5618,2.7328,ONEOK Partners LP ,909281,2016
282485.txt,3048,110,241,177,116,58,47,89,394,27.7091,26.2759,17.2203,1.6091,2.0776,1.5259,0.3277,0.5000,1.0545,0.4052,0.7672,0.5028,3.3966,2.2260,Tempus Applied Solutions Holdings  Inc. ,1628871,2016
281151.txt,4256,166,340,244,167,79,65,208,558,25.6386,25.4850,17.4426,1.4699,2.0359,1.4611,0.3238,0.4731,1.0060,0.3892,1.2455,0.8525,3.3413,2.2869,ONE Group Hospitality  Inc. ,1399520,2016
282482.txt,2373,106,220,167,108,61,50,79,297,22.3868,21.9722,14.2096,1.5755,2.0370,1.5463,0.3653,0.5648,1.0189,0.4630,0.7315,0.4731,2.7500,1.7784,TechTarget Inc ,1293282,2016
281152.txt,6561,160,405,301,182,112,77,200,984,41.0063,36.0495,21.7973,1.8813,2.2253,1.6538,0.3721,0.6154,1.1375,0.4231,1.0989,0.6645,5.4066,3.2691,ONE LIBERTY PROPERTIES INC ,712770,2016
285591.txt,1228,40,118,84,42,39,25,43,161,30.7000,29.2381,14.6190,2.1000,2.8095,2.0000,0.4643,0.9286,1.0500,0.5952,1.0238,0.5119,3.8333,1.9167,Contact Minerals Corp. ,1409175,2016
281150.txt,1871,68,142,103,72,30,24,55,229,27.5147,25.9861,18.1650,1.5147,1.9722,1.4306,0.2913,0.4167,1.0588,0.3333,0.7639,0.5340,3.1806,2.2233,ONE Gas  Inc. ,1587732,2016
282481.txt,5714,229,577,385,235,145,99,217,705,24.9520,24.3149,14.8416,1.6812,2.4553,1.6383,0.3766,0.6170,1.0262,0.4213,0.9234,0.5636,3.0000,1.8312,Tech Foundry Ventures  Inc. ,1605481,2016
285592.txt,3382,104,252,193,105,75,47,155,456,32.5192,32.2095,17.5233,1.8558,2.4000,1.8381,0.3886,0.7143,1.0096,0.4476,1.4762,0.8031,4.3429,2.3627,Corium International  Inc. ,1594337,2016
284260.txt,1780,74,173,122,81,43,30,76,213,24.0541,21.9753,14.5902,1.6486,2.1358,1.5062,0.3525,0.5309,1.0946,0.3704,0.9383,0.6230,2.6296,1.7459,Royal Bakery Holdings  Inc. ,1594485,2016
285510.txt,1833,61,142,103,68,35,22,101,248,30.0492,26.9559,17.7961,1.6885,2.0882,1.5147,0.3398,0.5147,1.1148,0.3235,1.4853,0.9806,3.6471,2.4078,BROCADE COMMUNICATIONS SYSTEMS INC ,1009626,2016
285511.txt,17648,578,1129,842,575,255,209,562,2629,30.5329,30.6922,20.9596,1.4567,1.9635,1.4643,0.3029,0.4435,0.9948,0.3635,0.9774,0.6675,4.5722,3.1223,BROOKS AUTOMATION INC ,933974,2016
285512.txt,5658,187,380,283,189,94,67,151,811,30.2567,29.9365,19.9929,1.5134,2.0106,1.4974,0.3322,0.4974,1.0107,0.3545,0.7989,0.5336,4.2910,2.8657,BRT REALTY TRUST ,14846,2016
285514.txt,946,26,58,37,27,9,6,25,109,36.3846,35.0370,25.5676,1.4231,2.1481,1.3704,0.2432,0.3333,1.0385,0.2222,0.9259,0.6757,4.0370,2.9459,BUSINESS.VN  INC. ,1084370,2016
285515.txt,400,15,35,22,14,7,4,19,49,26.6667,28.5714,18.1818,1.4667,2.5000,1.5714,0.3182,0.5000,0.9333,0.2857,1.3571,0.8636,3.5000,2.2273,Barrel Energy Inc. ,1631463,2016
285516.txt,1633,46,113,93,52,33,24,31,226,35.5000,31.4038,17.5591,2.0217,2.1731,1.7885,0.3548,0.6346,1.1304,0.4615,0.5962,0.3333,4.3462,2.4301,Bio-Matrix Scientific Group  Inc. ,1079282,2016
285517.txt,1758,60,178,122,63,56,31,67,243,29.3000,27.9048,14.4098,2.0333,2.8254,1.9365,0.4590,0.8889,1.0500,0.4921,1.0635,0.5492,3.8571,1.9918,Blake Insomnia Therapeutics  Inc. ,1556416,2016
285518.txt,6317,196,384,281,195,83,60,232,932,32.2296,32.3949,22.4804,1.4337,1.9692,1.4410,0.2954,0.4256,0.9949,0.3077,1.1897,0.8256,4.7795,3.3167,Blue Bird Corp ,1589526,2016
285519.txt,1740,71,142,104,80,25,22,52,237,24.5070,21.7500,16.7308,1.4648,1.7750,1.3000,0.2404,0.3125,1.1268,0.2750,0.6500,0.5000,2.9625,2.2788,Bollente Companies Inc. ,1429393,2016
284258.txt,3522,136,240,177,137,41,30,125,494,25.8971,25.7080,19.8983,1.3015,1.7518,1.2920,0.2316,0.2993,1.0074,0.2190,0.9124,0.7062,3.6058,2.7910,Rocky Mountain Chocolate Factory  Inc. ,1616262,2016
284256.txt,1716,63,150,101,65,36,27,74,230,27.2381,26.4000,16.9901,1.6032,2.3077,1.5538,0.3564,0.5538,1.0317,0.4154,1.1385,0.7327,3.5385,2.2772,Rockdale Resources Corp ,1368637,2016
284254.txt,11011,396,728,549,399,163,128,368,1642,27.8056,27.5965,20.0565,1.3864,1.8246,1.3759,0.2969,0.4085,1.0076,0.3208,0.9223,0.6703,4.1153,2.9909,Rexnord Corp ,1439288,2016
284252.txt,157,10,16,15,9,3,2,10,23,15.7000,17.4444,10.4667,1.5000,1.7778,1.6667,0.2000,0.3333,0.9000,0.2222,1.1111,0.6667,2.5556,1.5333,Rennova Health  Inc. ,931059,2016
284250.txt,157,10,16,15,9,3,2,10,23,15.7000,17.4444,10.4667,1.5000,1.7778,1.6667,0.2000,0.3333,0.9000,0.2222,1.1111,0.6667,2.5556,1.5333,Rennova Health  Inc. ,931059,2016
285520.txt,1510,55,137,94,57,30,22,53,196,27.4545,26.4912,16.0638,1.7091,2.4035,1.6491,0.3191,0.5263,1.0364,0.3860,0.9298,0.5638,3.4386,2.0851,Bookedbyus Inc. ,1528697,2016
285521.txt,1462,59,111,75,61,15,12,65,190,24.7797,23.9672,19.4933,1.2712,1.8197,1.2295,0.2000,0.2459,1.0339,0.1967,1.0656,0.8667,3.1148,2.5333,Bridgeline Digital  Inc. ,1378590,2016
285522.txt,6213,211,452,331,217,116,82,316,850,29.4455,28.6313,18.7704,1.5687,2.0829,1.5253,0.3505,0.5346,1.0284,0.3779,1.4562,0.9547,3.9171,2.5680,Broadcom Cayman L.P. ,1649345,2016
285523.txt,6213,211,452,331,217,116,82,316,850,29.4455,28.6313,18.7704,1.5687,2.0829,1.5253,0.3505,0.5346,1.0284,0.3779,1.4562,0.9547,3.9171,2.5680,Broadcom Ltd ,1649338,2016
285524.txt,7043,225,523,412,247,157,102,280,1000,31.3022,28.5142,17.0947,1.8311,2.1174,1.6680,0.3811,0.6356,1.0978,0.4130,1.1336,0.6796,4.0486,2.4272,CABOT CORP ,16040,2016
285525.txt,116,4,9,5,3,2,2,5,16,29.0000,38.6667,23.2000,1.2500,3.0000,1.6667,0.4000,0.6667,0.7500,0.6667,1.6667,1.0000,5.3333,3.2000,CABOT MICROELECTRONICS CORP ,1102934,2016
285526.txt,3175,57,264,201,79,94,48,123,446,55.7018,40.1899,15.7960,3.5263,3.3418,2.5443,0.4677,1.1899,1.3860,0.6076,1.5570,0.6119,5.6456,2.2189,CALAVO GROWERS INC ,1133470,2016
285528.txt,234,10,18,14,10,6,3,13,32,23.4000,23.4000,16.7143,1.4000,1.8000,1.4000,0.4286,0.6000,1.0000,0.3000,1.3000,0.9286,3.2000,2.2857,CARDIFF INTERNATIONAL INC ,811222,2016
285529.txt,4160,128,292,202,137,67,45,131,576,32.5000,30.3650,20.5941,1.5781,2.1314,1.4745,0.3317,0.4891,1.0703,0.3285,0.9562,0.6485,4.2044,2.8515,CAROLCO PICTURES  INC. ,1484769,2016
284247.txt,3571,150,280,209,147,64,46,145,515,23.8067,24.2925,17.0861,1.3933,1.9048,1.4218,0.3062,0.4354,0.9800,0.3129,0.9864,0.6938,3.5034,2.4641,Real Goods Solar  Inc. ,1425565,2016
284241.txt,1394,47,86,69,51,17,16,55,170,29.6596,27.3333,20.2029,1.4681,1.6863,1.3529,0.2464,0.3333,1.0851,0.3137,1.0784,0.7971,3.3333,2.4638,Rand Logistics  Inc. ,1294250,2016
285530.txt,709,31,41,35,29,6,6,21,88,22.8710,24.4483,20.2571,1.1290,1.4138,1.2069,0.1714,0.2069,0.9355,0.2069,0.7241,0.6000,3.0345,2.5143,CASTLE HOLDING CORP ,802510,2016
285531.txt,4742,176,371,265,191,66,47,158,624,26.9432,24.8272,17.8943,1.5057,1.9424,1.3874,0.2491,0.3455,1.0852,0.2461,0.8272,0.5962,3.2670,2.3547,CEL SCI CORP ,725363,2016
285533.txt,2662,95,206,161,100,57,47,130,384,28.0211,26.6200,16.5342,1.6947,2.0600,1.6100,0.3540,0.5700,1.0526,0.4700,1.3000,0.8075,3.8400,2.3851,CEMTREX INC ,1435064,2016
285534.txt,2420,83,161,127,86,39,29,108,337,29.1566,28.1395,19.0551,1.5301,1.8721,1.4767,0.3071,0.4535,1.0361,0.3372,1.2558,0.8504,3.9186,2.6535,CENTRAL GARDEN & PET CO ,887733,2016
285536.txt,4570,170,329,233,165,70,52,171,700,26.8824,27.6970,19.6137,1.3706,1.9939,1.4121,0.3004,0.4242,0.9706,0.3152,1.0364,0.7339,4.2424,3.0043,CHARTER FINANCIAL CORP ,1478726,2016
285537.txt,53,1,2,2,1,0,0,4,5,53.0000,53.0000,26.5000,2.0000,2.0000,2.0000,0.0000,0.0000,1.0000,0.0000,4.0000,2.0000,5.0000,2.5000,CHASE CORP ,830524,2016
